assertion,class,expected,observed,passed
profiles_are_distinct,harness,True,True,True
sessions_are_distinct,harness,True,True,True
honest_session_a_installs_and_receipts,harness,"accepted, installed, receipt","{'scenario': 'honest_session_a', 'category': 'positive_control', 'threat_model': 'honest', 'white_box': False, 'accepted': True, 'server_signature_verified': True, 'ctx_k_verified': True, 'aead_verified': True, 'server_declared_digest_verified': True, 'order_digest_checked': True, 'order_digest_match': True, 'installed': True, 'receipt_generated': True, 'receipt_mac_valid': True, 'profile_hash': '38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422', 'ticket_pid_h': '38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422', 'reason': 'PROFILE_ACCEPTED', 'rejection_stage': 'none', 'elapsed_ms': 0.261, 'wire_bytes': 17053}",True
honest_session_b_installs_and_receipts,harness,"accepted, installed, receipt","{'scenario': 'honest_session_b', 'category': 'positive_control', 'threat_model': 'honest', 'white_box': False, 'accepted': True, 'server_signature_verified': True, 'ctx_k_verified': True, 'aead_verified': True, 'server_declared_digest_verified': True, 'order_digest_checked': True, 'order_digest_match': True, 'installed': True, 'receipt_generated': True, 'receipt_mac_valid': True, 'profile_hash': '38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422', 'ticket_pid_h': '38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422', 'reason': 'PROFILE_ACCEPTED', 'rejection_stage': 'none', 'elapsed_ms': 0.196, 'wire_bytes': 17053}",True
10a_network_flip_rejected_by_signature,security,INVALID_SERVER_KEY_EXCHANGE_SIGNATURE,INVALID_SERVER_KEY_EXCHANGE_SIGNATURE,True
10a_resigned_ciphertext_rejected_by_aead,security,PROFILE_AEAD_AUTHENTICATION_FAILED,PROFILE_AEAD_AUTHENTICATION_FAILED,True
10a_resigned_tag_rejected_by_aead,security,PROFILE_AEAD_AUTHENTICATION_FAILED,PROFILE_AEAD_AUTHENTICATION_FAILED,True
10b_whole_package_replay_rejected,security,CTX_K_MISMATCH,CTX_K_MISMATCH,True
10b_resigned_ciphertext_replay_rejected_by_aead,security,PROFILE_AEAD_AUTHENTICATION_FAILED,PROFILE_AEAD_AUTHENTICATION_FAILED,True
10c_malicious_package_is_cryptographically_valid,harness,"signature, ctx_K, AEAD, and server digest all pass","{'scenario': '10c_current_client_wrong_profile', 'category': '10C', 'threat_model': 'malicious_smdpp_valid_keys', 'white_box': False, 'accepted': False, 'server_signature_verified': True, 'ctx_k_verified': True, 'aead_verified': True, 'server_declared_digest_verified': True, 'order_digest_checked': True, 'order_digest_match': False, 'installed': False, 'receipt_generated': False, 'receipt_mac_valid': False, 'profile_hash': '8ec130b606bfd3b12553e5d05027d171a13c63148d67444f142f266dc2e35f8d', 'ticket_pid_h': '38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422', 'reason': 'PROFILE_ORDER_DIGEST_MISMATCH', 'rejection_stage': 'order_pid_h', 'elapsed_ms': 0.178, 'wire_bytes': 16465}",True
10c_wrong_profile_must_not_install,security_property,rejected before install and receipt,"{'accepted': False, 'installed': False, 'receipt_generated': False, 'order_digest_match': False}",True
10c_order_digest_check_enforced,security,current client rejects before install and receipt,"{'scenario': '10c_current_client_wrong_profile', 'category': '10C', 'threat_model': 'malicious_smdpp_valid_keys', 'white_box': False, 'accepted': False, 'server_signature_verified': True, 'ctx_k_verified': True, 'aead_verified': True, 'server_declared_digest_verified': True, 'order_digest_checked': True, 'order_digest_match': False, 'installed': False, 'receipt_generated': False, 'receipt_mac_valid': False, 'profile_hash': '8ec130b606bfd3b12553e5d05027d171a13c63148d67444f142f266dc2e35f8d', 'ticket_pid_h': '38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422', 'reason': 'PROFILE_ORDER_DIGEST_MISMATCH', 'rejection_stage': 'order_pid_h', 'elapsed_ms': 0.178, 'wire_bytes': 16465}",True
